,SMILES,pChEMBL Value
130,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(-c3ccc(=O)n(C)c3)ccc2n1,8.22
186,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(C3CCS(=O)(=O)CC3)cc(C)c2n1,8.22
117,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3F)c2cc1[C@]1(O)CC[C@@H](O)CC1,8.22
187,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1O[C@@H]1CCOC1,8.22
4,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1C1CCS(=O)(=O)CC1,8.22
69,CC(=O)N1CC[C@H](Oc2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3cc2F)C1,8.22
135,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1-c1cnn(CC(=O)N(C)C)c1,8.22
85,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(-c3cc4n(n3)CCC(=O)N4)ccc2n1,8.15
89,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)C[C@@H](C)O)CC3)ccc2n1,8.15
182,COCCN1CCN(C(=O)[C@H]2CC[C@@H](c3ccc4nc(C)nc(N[C@H](C)c5cc(N)cc(C(F)(F)F)c5)c4c3)CC2)CC1,8.15
150,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3C)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1,8.15
78,COc1c(C2(O)CCN(C(C)=O)CC2)cc2c(N[C@H](C)c3cccc(C(F)(F)F)c3F)nc(C)nc2c1C,8.15
76,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)CCO)CC3)ccc2n1,8.15
71,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1[C@]1(O)CC[C@@H](C(=O)N(C)CCO)CC1,8.15
200,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2F)c2cc(C3CCS(=O)(=O)CC3)ccc2n1,8.15
163,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N(C)C)CC3)ccc2n1,8.15
32,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(O[C@H]3CCOC3)c(C)cc2n1,8.15
172,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](O)CC3)ccc2n1,8.1
141,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)C[C@H](C)O)CC3)ccc2n1,8.1
