,SMILES,pChEMBL Value
61,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccc(C(F)(F)F)cc4)cc(Cl)cc32)cc(C)c1F,5.98
62,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC(N)CC4)cc(Cl)cc32)cc(C)c1F,6.62
63,Cc1cc2nc(N3CCCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C,5.07
64,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C,4.76
65,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(C(F)(F)F)c3)c2cc1C,5.09
66,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cncnc4C(C)C)cc(Cl)cc32)cc(C)c1F,5.12
67,Cc1ccc(Cn2c(N3CCNCC3)nc3cc(C)c(C)cc32)cc1,4.44
68,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(Br)cc32)cc1Cl,5.89
69,Cc1ncncc1-c1cc(Cl)cc2c1nc(N1CC3(CNC3)C1)n2Cc1ccc(F)cc1,4.6
70,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cnccn4)cc(Cl)cc32)cc(C)c1F,6.41
71,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F,5.27
72,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(C4CC4)cc32)cc1Cl,4.61
73,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4)cc(Cl)cc32)cc(C)c1F,6.57
74,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4Cl)cc(Cl)cc32)cc(C)c1F,4.8
75,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4c(C)cccc4C)cc(Cl)cc32)cc(C)c1F,6.52
76,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4c(C)n[nH]c4C)cc(Cl)cc32)cc(C)c1F,4.93
77,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F,5.47
78,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(F)c3)c2cc1C,5.23
79,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@H]4CN)cc(Cl)cc32)cc(C)c1F,5.45
80,Cc1cc2nc(N3CCC(N)CC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C,5.18
81,Cc1cc2nc(C3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C,5.25
82,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4cncnc4C)cc(Cl)cc32)cc(C)c1F,5.04
83,Cc1cc2nc(NC3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C,4.43
84,Cc1cc2nc(N3CCNCC3)n(Cc3cc(C)c(F)c(C)c3)c2cc1C,5.43
85,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(C4CC4)c3)c2cc1C,4.93
86,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccncc4)cc(Cl)cc32)cc(C)c1F,6.62
87,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cccc(C(F)(F)F)c4)cc(Cl)cc32)cc(C)c1F,6.17
88,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cncnc4C)cc(Cl)cc32)cc(C)c1F,5.08
