,Molecule ChEMBL ID,Smiles
119,CHEMBL4068763,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(Nc4cccc(F)c4)ccc23)c(OC)cc1N(C)CCN(C)C
120,CHEMBL4441392,Cc1cc(=O)n2nc(SCc3ccc(F)cc3)nc2[nH]1
121,CHEMBL4226702,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCOCC4)cc3OC)n2)c1
122,CHEMBL4225571,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(C4CCN(C)CC4)cc3)n2)c1
123,CHEMBL4439754,CCNC(=S)NNC(=O)Cn1c(-c2ccccc2)nc2ccccc21
124,CHEMBL4536512,S=c1[nH]nc(Cn2c(-c3ccccc3)nc3ccccc32)n1CCN1CCCCC1
125,CHEMBL4094823,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3
126,CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
127,CHEMBL4063301,O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCCCC1
130,CHEMBL3808753,COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cncc(C)c4)ccc3C)cnc2[nH]1
131,CHEMBL4446379,O=C(Nc1ccc(Nc2ccc([N+](=O)[O-])c3ncnc(O)c23)cc1)c1cccc(F)c1
132,CHEMBL4088718,S=C(NCc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
133,CHEMBL3813995,C=CC(=O)Nc1ccc(Cn2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)cc1
134,CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
135,CHEMBL4451314,CS(=O)(=O)CCNCc1ccc(-c2nc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)nccc3[nH]2)o1
136,CHEMBL3915306,O=C(CBr)OCCn1c(=O)oc2cc3ncnc(Nc4ccc(OCc5ccc(Cl)cc5)cc4)c3cc21
137,CHEMBL3958006,O=C(/C=C/CN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1
138,CHEMBL4541014,COc1cc(Nc2ncnc3cc(-c4ccccc4)sc23)cc(OC)c1OC
139,CHEMBL3608429,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C[C@H]1F
140,CHEMBL3814819,C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(CCN5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1
141,CHEMBL3921816,COc1cc(Nc2ncnc3ccc(-c4cn(CCCCCC(=O)NO)nn4)cc23)ccc1Oc1ccccc1
142,CHEMBL4442491,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(CCC(=O)NCCCCCCCCOc2cccc3c2C(=O)N(C2CCC(=O)N(C)C2=O)C3=O)CC1
143,CHEMBL4552065,Cn1cc(NC(=O)c2cccc(NS(=O)(=O)c3ccccc3)c2)cn1
144,CHEMBL4218154,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3CC)c3ncn(C(C)C)c3n2)C[C@H]1F
145,CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
146,CHEMBL3674148,CC(C)n1c(Nc2ccc(F)c(Cl)c2)nc2cnc(Nc3ccc(C(=O)NN4CCN(C)CC4)cc3)nc21
147,CHEMBL4085352,FC(F)(F)c1cccc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)c1
148,CHEMBL4094471,Clc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1
149,CHEMBL4075892,c1csc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)c1
150,CHEMBL4093954,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(/C=C/c4cc(OC)cc(OC)c4)cc3)ncc2Cl)c1
151,CHEMBL4087010,N=C(N)NS(=O)(=O)c1ccc(Nc2ncnc3ccc(NC(=S)NCc4ccccc4)cc23)cc1
152,CHEMBL4066118,c1ccc2c(Cc3nnc(Cc4nc5ccccc5[nH]4)o3)cccc2c1
153,CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC
154,CHEMBL4063136,CSc1nc(NCCc2ccccc2)c2ccn(Cc3ccc(F)cc3)c2n1
155,CHEMBL598797,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1
157,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
160,CHEMBL3818247,CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21
165,CHEMBL4090945,Nc1nc(NCc2ccccc2)c2c(n1)[nH]c1cc(Cl)c(O)cc12
166,CHEMBL4077859,C=CC(=O)N[C@H]1COC[C@H]1Nc1ncc(OCc2c(F)c(OC)cc(OC)c2F)cn1
167,CHEMBL4080711,Oc1cccc(Nc2ncnc3ccc(NC(=S)NCc4ccccc4)cc23)c1
168,CHEMBL232601,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1
170,CHEMBL4079501,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccncc4)ccc23)c(OC)cc1N(C)CCN(C)C
171,CHEMBL4102389,C=CC(=O)Nc1cc(CC)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1
172,CHEMBL4440381,Cc1cc(-n2cc(C(=O)N3CCO[C@@H](C)C3)c3ccc(O[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1
173,CHEMBL4448428,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(Cl)cc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O
174,CHEMBL4463094,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(F)cc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O
175,CHEMBL4554990,C=CC(=O)Nc1cccc(Nc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)c1
