Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL4203017,11237.333333333334,4.95,170,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4ccccc4Cl)cc(Cl)cc32)cc(C)c1F
CHEMBL4203080,12400.0,4.91,24,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(Cl)cc3)c2cc1C
CHEMBL4203578,240.0,6.62,175,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@@H]4CN)cc(Cl)cc32)cc(C)c1F
CHEMBL4203601,1900.0,5.72,510,Cc1cc2nc(NCCN)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4203733,19666.666666666668,4.71,101,Cc1cc2nc(N)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4203773,25933.333333333332,4.59,189,Fc1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1Cl
CHEMBL4204279,26000.0,4.59,726,Cc1cc2nc(N3CCN(C)CC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4204326,3000.0,5.52,129,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1Cl
CHEMBL4204468,450.0,6.35,812,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cccnn4)cc(Cl)cc32)cc(C)c1F
CHEMBL4204856,440.0,6.36,788,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4C4CCC4)cc(Cl)cc32)cc(C)c1F
CHEMBL4204971,140.0,6.85,139,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4CO)cc(Cl)cc32)cc(C)c1F
CHEMBL4205351,150.0,6.82,114,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4C(F)(F)F)cc(Cl)cc32)cc(C)c1F
CHEMBL4205543,250.0,6.6,806,Cc1cc(Cn2c(N3CCNCC3)nc3c(C4=CCNCC4)cc(Cl)cc32)cc(C)c1F
CHEMBL4205896,180.0,6.74,641,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cn[nH]c4)cc(Cl)cc32)cc(C)c1F
CHEMBL4206057,380.0,6.42,493,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@@H]4CO)cc(Cl)cc32)cc(C)c1F
CHEMBL4206374,210.0,6.68,251,Cc1ccccc1-c1cc(Cl)cc2c1nc(N1CCNCC1)n2Cc1cc(C)c(F)c(C)c1
CHEMBL4207431,19600.0,4.71,572,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(C(F)(F)F)cc3)c2cc1C
CHEMBL4207854,350.0,6.46,18,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cncnc4)cc(Cl)cc32)cc(C)c1F
CHEMBL4207963,5900.0,5.23,99,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)cc3)c2cc1C
CHEMBL4208139,4400.0,5.36,573,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(C(F)(F)F)cc32)cc1Cl
