,Compound_ID,SMILES,Calculated pChEMBL
52,48,N/C(C)=N\C1=CC(OC[C@@H]2N3CCN(C(C4CCOCC4)=O)C2)=C3C=C1CN[C@H](C)C5=CC=CC(C(F)F)=C5F,7.74
53,49,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C5CCN(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.01
54,50,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N5CCOCC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,8.01
55,51,CC1=NC2=CC(OC[C@@H]3N4CCN(C(N5CCN(C)CC5)=O)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.0
56,52,CC1=NC2=CC(OC[C@@H]3N4CCN(C)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.07
57,53,CC1=NC2=CC(OC[C@@H]3N4CCN(C(C)C)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,6.77
58,54,CC1=NC2=CC(OC[C@@H]3N4CCN(CCOC)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.01
59,55,CC1=NC2=CC(OC[C@@H]3N4CCN(S(C)(=O)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,7.1
60,56,CC1=NC2=CC(OC[C@@H]3N4CCN(CC(N(C)C)=O)C3)=C4C=C2C(N[C@H](C)C5=CC=CC(C(F)F)=C5F)=N1,6.53
61,57,CC1=NC2=CC(OC[C@@H]3N4CCN(C5COC5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.02
62,58,CC1=NC2=CC(OC[C@@H]3N4CCN(C5CN(C)C5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,6.78
63,59,CC1=NC2=CC(OC[C@@H]3N4CCN(C5CCOCC5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.24
64,60,CC1=NC2=CC(OC[C@@H]3N4CCN(C5=NC=C(F)C=N5)C3)=C4C=C2C(N[C@H](C)C6=CC=CC(C(F)F)=C6F)=N1,7.0
65,8,COC1=C(OC)C=C(C=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3)C)C2=C1,6.02
66,10,COC1=C(OC)C=C(C=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3C)C)C2=C1,6.42
67,11,CNCC1=C(C2=CSC([C@@H](C)NC3=NN=CC4=CC(OC)=C(OC)C=C43)=C2)C=CC=C1,6.78
68,12,COC1=C(OC)C=C(C(C)=NN=C2N[C@@H](C3=CC(C4=C(CNC)C=CC=C4)=CS3)C)C2=C1,6.6
69,13,COC1=C(OC)C=C(C(C)=NN=C2N[C@@H](C3=CC=CC(C(F)(F)F)=C3C)C)C2=C1,6.71
70,14,CC1=C(C(F)(F)F)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC=C(N(C)C)C=C32,7.24
71,15,CC1=NN=C(N[C@H](C)C2=CC=CC(C(F)(F)F)=C2C)C3=CC(N4CCNCC4)=CC=C31,7.34
72,16,CC1=C(C(F)(F)F)C=CC=C1[C@H](NC2=NN=C(C)C3=CC=C(C4CCNCC4)C=C23)C,6.74
73,17,CC1=NN=C(N[C@H](C)C2=CC=CC(C(F)(F)F)=C2C)C3=CC(N4CC(N(C)CC4)=O)=CC=C31,7.13
74,20,CN(C)C1=NN=C(C2=CC(N3CCNCC3)=CC=C12)N[C@H](C)C4=CC=CC(C(F)(F)F)=C4C,6.75
75,21,O=C1NN=C(C2=CC(N3CCNCC3)=CC=C12)N[C@H](C)C4=CC=CC(C(F)(F)F)=C4C,6.94
76,22,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN(C)C(C3=CC=C(N4CCNCC4)C=C32)=O,6.06
77,23,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN=C(C)C3=CN=C(N4CCNCC4)C=C32,7.52
78,24,C[C@H](C1=CC=CC(C(F)(F)F)=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,7.59
79,25,FC1=C(C(F)(F)F)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,7.6
80,26,C[C@H](C1=CC=CC(C(F)(F)F)=N1)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,6.73
81,27,NC1=CC(C(F)(F)F)=NC([C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32)=C1,6.68
82,28,C[C@H](C1=CC=CN=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,5.89
83,29,C[C@H](C1=CN(C)N=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,5.48
84,30,C[C@H](C1=CN(C)N=C1C(F)(F)F)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,5.94
85,31,CC1=C(Br)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=C2C=C(N4CCOCC4)N=C3,6.94
86,32 (MRTX0902),CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,7.54
87,33,C[C@H](C1=CC=CC(S(=O)(C)=O)=C1C)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,6.62
88,34,C[C@H](C1=CC=CC(C#N)=C1)NC2=NN=C(C)C3=CN=C(N4CCOCC4)C=C32,6.48
89,35,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(F)=C(N4CCOCC4)C=C32,6.92
90,36,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(Cl)=C(N4CCOCC4)C=C32,6.54
91,37,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(C#N)=C(N4CCOCC4)C=C32,6.31
92,38,CC1=C(C#N)C=CC=C1[C@@H](C)NC2=NN=C(C)C3=CC(C(F)(F)F)=C(N4CCOCC4)C=C32,6.11
93,RMC0331,O=C(N1CC2=NC(Cl)=NC(N[C@@H](C3=CC(C(F)(F)F)=CC(N)=C3)C)=C2C1)C4(OC)CCOCC4,7.15
